url,language,segment,slug,expected_status,reason,canonical_or_target
https://themegaradio.com/th/สถานี/radio-tlaxcala-tlaxcala-1430-am-xett-am-coracyt-tlaxcala-tlaxcala,th,สถานี,radio-tlaxcala-tlaxcala-1430-am-xett-am-coracyt-tlaxcala-tlaxcala,noindex,language-not-eligible:Mexican station served in Thai,https://themegaradio.com/es/estacion/radio-tlaxcala-tlaxcala-1430-am-xett-am-coracyt-tlaxcala-tlaxcala
https://themegaradio.com/lv/stacija/love-lokale-omroep-volendam-edam-dab,lv,stacija,love-lokale-omroep-volendam-edam-dab,noindex,junk:codec-suffix:-dab,
https://themegaradio.com/fi/asema/ard-dolby-atmos-test-1,fi,asema,ard-dolby-atmos-test-1,noindex,junk:test-feed-substring,
https://themegaradio.com/en/station/jefferson-county-ny-police-fire-and-ems,en,station,jefferson-county-ny-police-fire-and-ems,indexable,en is always eligible; valid US station,
https://themegaradio.com/sk/stanica/la-comadre-irapuato-1063-fm-xhito-fm-grupo-acir-irapuato-gt,sk,stanica,la-comadre-irapuato-1063-fm-xhito-fm-grupo-acir-irapuato-gt,noindex,language-not-eligible:Mexican station served in Slovak,https://themegaradio.com/es/estacion/la-comadre-irapuato-1063-fm-xhito-fm-grupo-acir-irapuato-gt
https://themegaradio.com/hu/radio/war-fm-gilgandra-989-fm-mp3-1,hu,radio,war-fm-gilgandra-989-fm-mp3-1,noindex,junk:codec-suffix:-mp3-1 (also -N dupe of war-fm-gilgandra-989-fm-mp3),
https://themegaradio.com/hu/radio/cfqx-fm-1041-qx104-country-winnipeg-mb,hu,radio,cfqx-fm-1041-qx104-country-winnipeg-mb,noindex,language-not-eligible:Canadian (en/fr) station served in Hungarian,https://themegaradio.com/en/station/cfqx-fm-1041-qx104-country-winnipeg-mb
https://themegaradio.com/hu/radio/cjwv-oldies-967-fm,hu,radio,cjwv-oldies-967-fm,noindex,language-not-eligible:Canadian station served in Hungarian,https://themegaradio.com/en/station/cjwv-oldies-967-fm
https://themegaradio.com/hr/stanica/radio-maria-kenya-nairobi,hr,stanica,radio-maria-kenya-nairobi,noindex,language-not-eligible:Kenyan station served in Croatian,https://themegaradio.com/en/station/radio-maria-kenya-nairobi
https://themegaradio.com/hu/radio/magic-fm-agrinio,hu,radio,magic-fm-agrinio,noindex,language-not-eligible:Greek station served in Hungarian,https://themegaradio.com/el/σταθμος/magic-fm-agrinio
https://themegaradio.com/hu/radio/radio-mas-997-fm,hu,radio,radio-mas-997-fm,noindex,language-not-eligible:Spanish-language station served in Hungarian,https://themegaradio.com/es/estacion/radio-mas-997-fm
https://themegaradio.com/no/stasjon/life-radio-non-stop-music,no,stasjon,life-radio-non-stop-music,noindex,junk:song-or-program-name (non-stop-music),
https://themegaradio.com/hr/stanica/ckap-1009-moose-fm-kapuskasing-on,hr,stanica,ckap-1009-moose-fm-kapuskasing-on,noindex,language-not-eligible:Canadian station served in Croatian,https://themegaradio.com/en/station/ckap-1009-moose-fm-kapuskasing-on
https://themegaradio.com/de/sender/cleansingmusic-cleansing-70s-mp3,de,sender,cleansingmusic-cleansing-70s-mp3,noindex,junk:codec-suffix:-mp3,
https://themegaradio.com/th/สถานี/australian-digital-radio-network-only-mozart-mp3,th,สถานี,australian-digital-radio-network-only-mozart-mp3,noindex,junk:codec-suffix:-mp3 (also language-not-eligible),
https://themegaradio.com/mr/steshan/exa-fm-1003-campeche-1003-fm-xhmi-fm-ncs-ncleo-comunicacin-del-sureste-campeche-campeche,mr,steshan,exa-fm-1003-campeche-1003-fm-xhmi-fm-ncs-ncleo-comunicacin-del-sureste-campeche-campeche,noindex,language-not-eligible:Mexican station served in Marathi,https://themegaradio.com/es/estacion/exa-fm-1003-campeche-1003-fm-xhmi-fm-ncs-ncleo-comunicacin-del-sureste-campeche-campeche
https://themegaradio.com/gu/સ્ટેશન/la-invasora-tijuana-xha-fm-945-fm-uniradio-tijuana-baja-california,gu,સ્ટેશન,la-invasora-tijuana-xha-fm-945-fm-uniradio-tijuana-baja-california,301,slug-rewrite:non-Latin segment now transliterated; also language-not-eligible,https://themegaradio.com/es/estacion/la-invasora-tijuana-xha-fm-945-fm-uniradio-tijuana-baja-california
https://themegaradio.com/ko/스테이션/radio-liberty-multiplayer-phonk-remix,ko,스테이션,radio-liberty-multiplayer-phonk-remix,noindex,junk:song-or-program-name (phonk-remix),
https://themegaradio.com/zu/isiteshi/more-bounce-to-the-ounce,zu,isiteshi,more-bounce-to-the-ounce,noindex,junk:song-or-program-name,
https://themegaradio.com/ro/statie/chas-fm-kiss-1005-sault-ste-marie-on,ro,statie,chas-fm-kiss-1005-sault-ste-marie-on,noindex,language-not-eligible:Canadian station served in Romanian,https://themegaradio.com/en/station/chas-fm-kiss-1005-sault-ste-marie-on
https://themegaradio.com/ro/statie/sveriges-radio-p4-vst,ro,statie,sveriges-radio-p4-vst,noindex,language-not-eligible:Swedish station served in Romanian,https://themegaradio.com/sv/station/sveriges-radio-p4-vst
https://themegaradio.com/ko/스테이션/brillux-radio,ko,스테이션,brillux-radio,noindex,language-not-eligible:German B2B brand station served in Korean,https://themegaradio.com/de/sender/brillux-radio
https://themegaradio.com/id/stasiun/gippsland-fm-morwell-1047-fm-aac,id,stasiun,gippsland-fm-morwell-1047-fm-aac,noindex,junk:codec-suffix:-aac,
https://themegaradio.com/zh/电台/cjed-fm-1051-the-river-niagara-falls-on,zh,电台,cjed-fm-1051-the-river-niagara-falls-on,noindex,language-not-eligible:Canadian station served in Chinese,https://themegaradio.com/en/station/cjed-fm-1051-the-river-niagara-falls-on
https://themegaradio.com/ur/اسٹیشن/exa-fm-983-ciudad-jurezel-paso-983-fm-xhpx-fm-mvs-radio-ciudad-jurez-chihuahua,ur,اسٹیشن,exa-fm-983-ciudad-jurezel-paso-983-fm-xhpx-fm-mvs-radio-ciudad-jurez-chihuahua,noindex,language-not-eligible:Mexican station served in Urdu,https://themegaradio.com/es/estacion/exa-fm-983-ciudad-jurezel-paso-983-fm-xhpx-fm-mvs-radio-ciudad-jurez-chihuahua
https://themegaradio.com/ro/statie/star-fm-maximum-rock-country-rock,ro,statie,star-fm-maximum-rock-country-rock,indexable,Romanian station legitimately served in Romanian,
https://themegaradio.com/el/σταθμος/ckgb-fm-993-kiss-993-timmins,el,σταθμος,ckgb-fm-993-kiss-993-timmins,noindex,language-not-eligible:Canadian station served in Greek,https://themegaradio.com/en/station/ckgb-fm-993-kiss-993-timmins
https://themegaradio.com/ko/스테이션/la-rancherita-los-mochis-917-fm-xhecu-fm-grupo-radio-centro-los-mochis-si,ko,스테이션,la-rancherita-los-mochis-917-fm-xhecu-fm-grupo-radio-centro-los-mochis-si,noindex,language-not-eligible:Mexican station served in Korean,https://themegaradio.com/es/estacion/la-rancherita-los-mochis-917-fm-xhecu-fm-grupo-radio-centro-los-mochis-si
https://themegaradio.com/ta/நிலையம்/fiesta-mexicana-irapuato-1055-fm,ta,நிலையம்,fiesta-mexicana-irapuato-1055-fm,noindex,language-not-eligible:Mexican station served in Tamil,https://themegaradio.com/es/estacion/fiesta-mexicana-irapuato-1055-fm
https://themegaradio.com/ko/스테이션/decennial-gothica-radio-ii,ko,스테이션,decennial-gothica-radio-ii,noindex,language-not-eligible:Western internet station served in Korean,https://themegaradio.com/en/station/decennial-gothica-radio-ii
https://themegaradio.com/zu/isiteshi/mystery-and-suspense-radio,zu,isiteshi,mystery-and-suspense-radio,noindex,language-not-eligible:English narration station served in Zulu,https://themegaradio.com/en/station/mystery-and-suspense-radio
https://themegaradio.com/vi/dai/the-big-top-40-show-sundays-4-7pm-1,vi,dai,the-big-top-40-show-sundays-4-7pm-1,noindex,junk:song-or-program-name (UK chart show; -1 dupe),
https://themegaradio.com/no/stasjon/phoenix-fm-bendigo-1067-fm-mp3,no,stasjon,phoenix-fm-bendigo-1067-fm-mp3,noindex,junk:codec-suffix:-mp3,
https://themegaradio.com/th/สถานี/catedral-fm-sp,th,สถานี,catedral-fm-sp,noindex,language-not-eligible:Brazilian station served in Thai,https://themegaradio.com/pt/estacao/catedral-fm-sp
