"slug","name","country","action","reason","new_slug","eligible_languages"
"radio-disney-94-3-buenos-aires-argentina-1","Radio Disney 94.3 - Buenos Aires, Argentina","Argentina","slug-rewrite","old=radio-disney-94-3-buenos-aires-argentina-1 → new=radio-disney-94-3-buenos-aires-argentina-1","radio-disney-94-3-buenos-aires-argentina-1","en|es"
"globo-101-3-ciudad-del-carmen-101-3-fm-xhmab-fm-organizacion-radio-carmen-ciudad-del-carmen-campeche-1","Globo 101.3 (Ciudad del Carmen) - 101.3 FM - XHMAB-FM - Organización Radio Carmen - Ciudad del Carmen, Campeche.","Mexico","slug-rewrite","old=globo-101-3-ciudad-del-carmen-101-3-fm-xhmab-fm-organizacion-radio-carmen-ciudad-del-carmen-campeche-1 → new=globo-101-3-ciudad-del-carmen-101-3-fm-xhmab-fm-organizacion-radio-carmen-ciudad-del-carmen-campeche-1","globo-101-3-ciudad-del-carmen-101-3-fm-xhmab-fm-organizacion-radio-carmen-ciudad-del-carmen-campeche-1","en|es"
"la-bestia-grupera-540-cdmx-540-am-xewf-am-grupo-audiorama-comunicaciones-ciudad-de-mexico-1","La Bestia Grupera 540 (CDMX) - 540 AM - XEWF-AM - Grupo Audiorama Comunicaciones - Ciudad de México","Mexico","slug-rewrite","old=la-bestia-grupera-540-cdmx-540-am-xewf-am-grupo-audiorama-comunicaciones-ciudad-de-mexico-1 → new=la-bestia-grupera-540-cdmx-540-am-xewf-am-grupo-audiorama-comunicaciones-ciudad-de-mexico-1","la-bestia-grupera-540-cdmx-540-am-xewf-am-grupo-audiorama-comunicaciones-ciudad-de-mexico-1","en|es"
"noticias-y-deportes-1330-los-angeles-1330-am-kwkw-lotus-communications-los-angeles-california-eua-1","NOTICIAS Y DEPORTES 1330 (Los Ángeles) - 1330 AM - KWKW - Lotus Communications - Los Ángeles, California, EUA","Mexico","slug-rewrite","old=noticias-y-deportes-1330-los-angeles-1330-am-kwkw-lotus-communications-los-angeles-california-eua-1 → new=noticias-y-deportes-1330-los-angeles-1330-am-kwkw-lotus-communications-los-angeles-california-eua-1","noticias-y-deportes-1330-los-angeles-1330-am-kwkw-lotus-communications-los-angeles-california-eua-1","en|es"
"radio-710-cdmx-710-am-xemp-am-imer-ciudad-de-mexico-1","RADIO 710 (CDMX) - 710 AM - XEMP-AM - IMER - Ciudad de México","Mexico","slug-rewrite","old=radio-710-cdmx-710-am-xemp-am-imer-ciudad-de-mexico-1 → new=radio-710-cdmx-710-am-xemp-am-imer-ciudad-de-mexico-1","radio-710-cdmx-710-am-xemp-am-imer-ciudad-de-mexico-1","en|es"
"maxima-88-5-veracruz-88-5-fm-xhil-fm-grupo-radiosa-veracruz-veracruz-1","MÁXIMA 88.5 (Veracruz) - 88.5 FM - XHIL-FM - Grupo RADIOSA - Veracruz, Veracruz","Mexico","slug-rewrite","old=maxima-88-5-veracruz-88-5-fm-xhil-fm-grupo-radiosa-veracruz-veracruz-1 → new=maxima-88-5-veracruz-88-5-fm-xhil-fm-grupo-radiosa-veracruz-veracruz-1","maxima-88-5-veracruz-88-5-fm-xhil-fm-grupo-radiosa-veracruz-veracruz-1","en|es"
"love-fm-103-7-veracruz-103-7-fm-xhcs-fm-grupo-radio-sa-veracruz-veracruz-1","LOVE FM 103.7 (Veracruz) - 103.7 FM - XHCS-FM - Grupo RADIO SA - Veracruz, Veracruz","Mexico","slug-rewrite","old=love-fm-103-7-veracruz-103-7-fm-xhcs-fm-grupo-radio-sa-veracruz-veracruz-1 → new=love-fm-103-7-veracruz-103-7-fm-xhcs-fm-grupo-radio-sa-veracruz-veracruz-1","love-fm-103-7-veracruz-103-7-fm-xhcs-fm-grupo-radio-sa-veracruz-veracruz-1","en|es"
"radio-activa-89-7-hermosillo-89-7-fm-xhedl-fm-grupo-radio-sa-hermosillo-sonora-1","Radio Activa 89.7 (Hermosillo) - 89.7 FM - XHEDL-FM - Grupo RADIO SA - Hermosillo, Sonora","Mexico","slug-rewrite","old=radio-activa-89-7-hermosillo-89-7-fm-xhedl-fm-grupo-radio-sa-hermosillo-sonora-1 → new=radio-activa-89-7-hermosillo-89-7-fm-xhedl-fm-grupo-radio-sa-hermosillo-sonora-1","radio-activa-89-7-hermosillo-89-7-fm-xhedl-fm-grupo-radio-sa-hermosillo-sonora-1","en|es"
"0-n-70s-on-radio-1","- 0 N - 70s on Radio","Germany","slug-rewrite","old=0-n-70s-on-radio-1 → new=0-n-70s-on-radio-1","0-n-70s-on-radio-1","en|de|tr"
"0-n-greatest-hits-on-radio-1","- 0 N - Greatest Hits on Radio","Germany","slug-rewrite","old=0-n-greatest-hits-on-radio-1 → new=0-n-greatest-hits-on-radio-1","0-n-greatest-hits-on-radio-1","en|de|tr"
"0-n-charts-on-radio-1","- 0 N - Charts on Radio","Germany","slug-rewrite","old=0-n-charts-on-radio-1 → new=0-n-charts-on-radio-1","0-n-charts-on-radio-1","en|de|tr"
"0-n-80s-on-radio-2","- 0 N - 80s on Radio","Germany","slug-rewrite","old=0-n-80s-on-radio-2 → new=0-n-80s-on-radio-2","0-n-80s-on-radio-2","en|de|tr"
"0-n-electro-on-radio-1","- 0 N - Electro on Radio","Germany","slug-rewrite","old=0-n-electro-on-radio-1 → new=0-n-electro-on-radio-1","0-n-electro-on-radio-1","en|de|tr"
"0-n-disco-on-radio-1","- 0 N - Disco on Radio","Germany","slug-rewrite","old=0-n-disco-on-radio-1 → new=0-n-disco-on-radio-1","0-n-disco-on-radio-1","en|de|tr"
"0-n-country-on-radio-1","- 0 N - Country on Radio","Germany","slug-rewrite","old=0-n-country-on-radio-1 → new=0-n-country-on-radio-1","0-n-country-on-radio-1","en|de|tr"
"0-n-60s-on-radio-1","- 0 N - 60s on Radio","Germany","slug-rewrite","old=0-n-60s-on-radio-1 → new=0-n-60s-on-radio-1","0-n-60s-on-radio-1","en|de|tr"
"0-n-blues-on-radio-1","- 0 N - Blues on Radio","Germany","slug-rewrite","old=0-n-blues-on-radio-1 → new=0-n-blues-on-radio-1","0-n-blues-on-radio-1","en|de|tr"
"stereorey-la-maxima-dimension-del-radio-1","STEREOREY: La Máxima Dimensión del Radio.","Mexico","slug-rewrite","old=stereorey-la-maxima-dimension-del-radio-1 → new=stereorey-la-maxima-dimension-del-radio-1","stereorey-la-maxima-dimension-del-radio-1","en|es"
"0-n-jazz-on-radio-1","- 0 N - Jazz on Radio","Germany","slug-rewrite","old=0-n-jazz-on-radio-1 → new=0-n-jazz-on-radio-1","0-n-jazz-on-radio-1","en|de|tr"
"0-n-50s-on-radio-1","- 0 N - 50s on Radio","Germany","slug-rewrite","old=0-n-50s-on-radio-1 → new=0-n-50s-on-radio-1","0-n-50s-on-radio-1","en|de|tr"
