language,default_station_about,from,genres,station_additional_info,live_radio,online_radio,radio_streaming,hero_worlds_best_radio,hero_over_100_countries,hero_listen_everywhere,nav_genres,nav_regions,nav_stations,popular_genres_title,popular_countries_title
en,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
es,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
de,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
it,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nl,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ru,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pl,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
da,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
el,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cs,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sl,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
et,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
zh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ja,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ko,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
th,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
vi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tl,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
he,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bn,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ta,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
te,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kn,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ml,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
am,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
zu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
af,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sq,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
az,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
so,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
uk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bs,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
